Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
WeekDays;50.3;24.225;31.75;23.05;34.025;111.45;180.875;335.525;309.275;262.7;214.425;202.675;248.625;253.075;312.35;283.15;247.425;225.8;246.825;224.1;255.425;300.225;227.7;141.65
WeekEnds;230;260;406.25;343.75;285;361.25;345;266.25;276.25;230;177.5;148.75;155;180;236.25;207.5;118.75;151.25;213.75;358.75;526.25;348.75;82.5;28.75
