Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
WeekDays;40.24;19.38;25.4;18.44;27.22;89.16;144.7;268.42;247.42;210.16;171.54;162.14;198.9;202.46;249.88;226.52;197.94;180.64;197.46;179.28;204.34;240.18;182.16;113.32
WeekEnds;184;208;325;275;228;289;276;213;221;184;142;119;124;144;189;166;95;121;171;287;421;279;66;23
