Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
WeekDays;60.36;29.07;38.1;27.66;40.83;133.74;217.05;402.63;371.13;315.24;257.31;243.21;298.35;303.69;374.82;339.78;296.91;270.96;296.19;268.92;306.51;360.27;273.24;169.98
WeekEnds;276;312;487.5;412.5;342;433.5;414;319.5;331.5;276;213;178.5;186;216;283.5;249;142.5;181.5;256.5;430.5;631.5;418.5;99;34.5
