Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
WeekDays;25.15;12.1125;15.875;11.525;17.0125;55.725;90.4375;167.7625;154.6375;131.35;107.2125;101.3375;124.3125;126.5375;156.175;141.575;123.7125;112.9;123.4125;112.05;127.7125;150.1125;113.85;70.825
WeekEnds;115;130;203.125;171.875;142.5;180.625;172.5;133.125;138.125;115;88.75;74.375;77.5;90;118.125;103.75;59.375;75.625;106.875;179.375;263.125;174.375;41.25;14.375
