Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
WeekDays;30.18;14.535;19.05;13.83;20.415;66.87;108.525;201.315;185.565;157.62;128.655;121.605;149.175;151.845;187.41;169.89;148.455;135.48;148.095;134.46;153.255;180.135;136.62;84.99
WeekEnds;138;156;243.75;206.25;171;216.75;207;159.75;165.75;138;106.5;89.25;93;108;141.75;124.5;71.25;90.75;128.25;215.25;315.75;209.25;49.5;17.25
