Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
WeekDays;35.21;16.9575;22.225;16.135;23.8175;78.015;126.6125;234.8675;216.4925;183.89;150.0975;141.8725;174.0375;177.1525;218.645;198.205;173.1975;158.06;172.7775;156.87;178.7975;210.1575;159.39;99.155
WeekEnds;161;182;284.375;240.625;199.5;252.875;241.5;186.375;193.375;161;124.25;104.125;108.5;126;165.375;145.25;83.125;105.875;149.625;251.125;368.375;244.125;57.75;20.125
