Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
WeekDays;20.12;9.69;12.7;9.22;13.61;44.58;72.35;134.21;123.71;105.08;85.77;81.07;99.45;101.23;124.94;113.26;98.97;90.32;98.73;89.64;102.17;120.09;91.08;56.66
WeekEnds;92;104;162.5;137.5;114;144.5;138;106.5;110.5;92;71;59.5;62;72;94.5;83;47.5;60.5;85.5;143.5;210.5;139.5;33;11.5
