;Año 1;;;;;;;;;;;;Año 2;;;;;;;;;;;;Año 3;;;;;;;;;;;;Año 4;;;;;;;;;;;;Año 5;;;;;;;;;;;
Hora;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
15;47.25;47.25;47.25;51.03;51.03;51.03;56.7;56.7;56.7;64.26;64.26;64.26;70.88;70.88;70.88;77.49;77.49;77.49;81.27;81.27;81.27;84.11;84.11;84.11;86.94;86.94;86.94;89.78;89.78;89.78;91.67;91.67;91.67;93.56;93.56;93.56;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5;94.5
16;41.5;41.5;41.5;44.82;44.82;44.82;49.8;49.8;49.8;56.44;56.44;56.44;62.25;62.25;62.25;68.06;68.06;68.06;71.38;71.38;71.38;73.87;73.87;73.87;76.36;76.36;76.36;78.85;78.85;78.85;80.51;80.51;80.51;82.17;82.17;82.17;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83
17;23.75;23.75;23.75;25.65;25.65;25.65;28.5;28.5;28.5;32.3;32.3;32.3;35.63;35.63;35.63;38.95;38.95;38.95;40.85;40.85;40.85;42.28;42.28;42.28;43.7;43.7;43.7;45.13;45.13;45.13;46.08;46.08;46.08;47.03;47.03;47.03;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5;47.5
18;30.25;30.25;30.25;32.67;32.67;32.67;36.3;36.3;36.3;41.14;41.14;41.14;45.38;45.38;45.38;49.61;49.61;49.61;52.03;52.03;52.03;53.85;53.85;53.85;55.66;55.66;55.66;57.48;57.48;57.48;58.69;58.69;58.69;59.9;59.9;59.9;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5;60.5
19;42.75;42.75;42.75;46.17;46.17;46.17;51.3;51.3;51.3;58.14;58.14;58.14;64.13;64.13;64.13;70.11;70.11;70.11;73.53;73.53;73.53;76.1;76.1;76.1;78.66;78.66;78.66;81.23;81.23;81.23;82.94;82.94;82.94;84.65;84.65;84.65;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5;85.5
20;71.75;71.75;71.75;77.49;77.49;77.49;86.1;86.1;86.1;97.58;97.58;97.58;107.63;107.63;107.63;117.67;117.67;117.67;123.41;123.41;123.41;127.72;127.72;127.72;132.02;132.02;132.02;136.33;136.33;136.33;139.2;139.2;139.2;142.07;142.07;142.07;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5;143.5
21;105.25;105.25;105.25;113.67;113.67;113.67;126.3;126.3;126.3;143.14;143.14;143.14;157.88;157.88;157.88;172.61;172.61;172.61;181.03;181.03;181.03;187.35;187.35;187.35;193.66;193.66;193.66;199.98;199.98;199.98;204.19;204.19;204.19;208.4;208.4;208.4;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5;210.5
22;69.75;69.75;69.75;75.33;75.33;75.33;83.7;83.7;83.7;94.86;94.86;94.86;104.63;104.63;104.63;114.39;114.39;114.39;119.97;119.97;119.97;124.16;124.16;124.16;128.34;128.34;128.34;132.53;132.53;132.53;135.32;135.32;135.32;138.11;138.11;138.11;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5;139.5
23;16.5;16.5;16.5;17.82;17.82;17.82;19.8;19.8;19.8;22.44;22.44;22.44;24.75;24.75;24.75;27.06;27.06;27.06;28.38;28.38;28.38;29.37;29.37;29.37;30.36;30.36;30.36;31.35;31.35;31.35;32.01;32.01;32.01;32.67;32.67;32.67;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33
24;5.75;5.75;5.75;6.21;6.21;6.21;6.9;6.9;6.9;7.82;7.82;7.82;8.63;8.63;8.63;9.43;9.43;9.43;9.89;9.89;9.89;10.24;10.24;10.24;10.58;10.58;10.58;10.93;10.93;10.93;11.16;11.16;11.16;11.39;11.39;11.39;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5;11.5
