Hour;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
WeekDays;87.6;101.3988297;162.7612305;236.3231628;316.300997;444.6933;508.2272971;550.4379089;585.3308847;549.9414591;473.0879164;459.6472603;494.4122564;531.836109;460.6859756;386.1290869;331.7591982;311.1357636;374.3456136;299.6942452;226.2639875;174.1966505;184.6886956;126.3810686
WeekEnds;57;95.46736804;103.5064199;210.6800669;223.4379848;207.5483584;317.3176337;397.5423019;492.8684032;577.6416938;470.7347183;432.1491906;326.0603869;382.5316627;369.7233887;402.6867428;406.9475541;410.6470244;343.8507453;355.1726516;221.9389222;159.2725176;180.1057486;100.6373632
