;Año 1;;;;;;;;;;;;Año 2;;;;;;;;;;;;Año 3;;;;;;;;;;;;Año 4;;;;;;;;;;;;Año 5;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;15;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
13;49.73;49.73;49.73;53.7;53.7;53.7;59.67;59.67;59.67;67.63;67.63;67.63;74.59;74.59;74.59;81.55;81.55;81.55;85.53;85.53;85.53;88.51;88.51;88.51;91.5;91.5;91.5;94.48;94.48;94.48;96.47;96.47;96.47;98.46;98.46;98.46;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45
14;50.62;50.62;50.62;54.66;54.66;54.66;60.74;60.74;60.74;68.84;68.84;68.84;75.92;75.92;75.92;83.01;83.01;83.01;87.06;87.06;87.06;90.1;90.1;90.1;93.13;93.13;93.13;96.17;96.17;96.17;98.19;98.19;98.19;100.22;100.22;100.22;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23
15;62.47;62.47;62.47;67.47;67.47;67.47;74.96;74.96;74.96;84.96;84.96;84.96;93.7;93.7;93.7;102.45;102.45;102.45;107.45;107.45;107.45;111.19;111.19;111.19;114.94;114.94;114.94;118.69;118.69;118.69;121.19;121.19;121.19;123.69;123.69;123.69;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94
16;56.63;56.63;56.63;61.16;61.16;61.16;67.95;67.95;67.95;77.01;77.01;77.01;84.94;84.94;84.94;92.87;92.87;92.87;97.4;97.4;97.4;100.8;100.8;100.8;104.2;104.2;104.2;107.59;107.59;107.59;109.86;109.86;109.86;112.12;112.12;112.12;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26
17;49.48;49.48;49.48;53.44;53.44;53.44;59.38;59.38;59.38;67.3;67.3;67.3;74.23;74.23;74.23;81.15;81.15;81.15;85.11;85.11;85.11;88.08;88.08;88.08;91.05;91.05;91.05;94.02;94.02;94.02;96;96;96;97.98;97.98;97.98;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97
18;45.16;45.16;45.16;48.77;48.77;48.77;54.19;54.19;54.19;61.42;61.42;61.42;67.74;67.74;67.74;74.06;74.06;74.06;77.67;77.67;77.67;80.38;80.38;80.38;83.09;83.09;83.09;85.8;85.8;85.8;87.61;87.61;87.61;89.42;89.42;89.42;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32;90.32
19;49.36;49.36;49.36;53.31;53.31;53.31;59.24;59.24;59.24;67.14;67.14;67.14;74.05;74.05;74.05;80.96;80.96;80.96;84.91;84.91;84.91;87.87;87.87;87.87;90.83;90.83;90.83;93.79;93.79;93.79;95.77;95.77;95.77;97.74;97.74;97.74;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73;98.73
20;44.82;44.82;44.82;48.41;48.41;48.41;53.79;53.79;53.79;60.96;60.96;60.96;67.23;67.23;67.23;73.51;73.51;73.51;77.09;77.09;77.09;79.78;79.78;79.78;82.47;82.47;82.47;85.16;85.16;85.16;86.95;86.95;86.95;88.75;88.75;88.75;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64;89.64
21;51.08;51.08;51.08;55.17;55.17;55.17;61.3;61.3;61.3;69.48;69.48;69.48;76.63;76.63;76.63;83.78;83.78;83.78;87.87;87.87;87.87;90.93;90.93;90.93;94;94;94;97.06;97.06;97.06;99.1;99.1;99.1;101.15;101.15;101.15;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17;102.17
22;60.04;60.04;60.04;64.85;64.85;64.85;72.05;72.05;72.05;81.66;81.66;81.66;90.07;90.07;90.07;98.47;98.47;98.47;103.28;103.28;103.28;106.88;106.88;106.88;110.48;110.48;110.48;114.08;114.08;114.08;116.49;116.49;116.49;118.89;118.89;118.89;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09;120.09
23;45.54;45.54;45.54;49.18;49.18;49.18;54.65;54.65;54.65;61.94;61.94;61.94;68.31;68.31;68.31;74.69;74.69;74.69;78.33;78.33;78.33;81.06;81.06;81.06;83.8;83.8;83.8;86.53;86.53;86.53;88.35;88.35;88.35;90.17;90.17;90.17;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08;91.08
24;28.33;28.33;28.33;30.6;30.6;30.6;33.99;33.99;33.99;38.53;38.53;38.53;42.49;42.49;42.49;46.46;46.46;46.46;48.73;48.73;48.73;50.43;50.43;50.43;52.13;52.13;52.13;53.82;53.82;53.82;54.96;54.96;54.96;56.09;56.09;56.09;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66;56.66
