Service;Min Value;Max Value;Increment;Service Probability;Usage Percentage;Price access;Price Use;Elasticity;Load in MB/Min;requiredCapacity;betaPrice;betaTime;delayTolerant
Http;1;11;1;0.4;75;0.05;0.016667;1.45;1;32;6.089;0.02;Y
VozIp;2;15;1;0.8;25;0.15;0.033333;1.337;0.234375;32;5.44;0.02;N
